cell_id,lat_idx,lon_idx,lat_center,lon_center,total_events,n_years,mean_count
0_0,0,0,25.0,123.0,1195,24,49.791666666666664
0_1,0,1,25.0,125.0,434,24,18.083333333333332
0_10,0,10,25.0,143.0,247,24,10.291666666666666
0_11,0,11,25.0,145.0,20,24,0.8333333333333334
0_2,0,2,25.0,127.0,242,24,10.083333333333334
0_3,0,3,25.0,129.0,224,24,9.333333333333334
0_4,0,4,25.0,131.0,8,24,0.3333333333333333
0_6,0,6,25.0,135.0,2,24,0.08333333333333333
0_7,0,7,25.0,137.0,1,24,0.041666666666666664
0_8,0,8,25.0,139.0,2,24,0.08333333333333333
0_9,0,9,25.0,141.0,241,24,10.041666666666666
10_0,10,0,45.0,123.0,3,24,0.125
10_1,10,1,45.0,125.0,19,24,0.7916666666666666
10_10,10,10,45.0,143.0,99,24,4.125
10_11,10,11,45.0,145.0,43,24,1.7916666666666667
10_12,10,12,45.0,147.0,312,24,13.0
10_13,10,13,45.0,149.0,741,24,30.875
10_14,10,14,45.0,151.0,377,24,15.708333333333334
10_15,10,15,45.0,153.0,117,24,4.875
10_3,10,3,45.0,129.0,2,24,0.08333333333333333
10_4,10,4,45.0,131.0,2,24,0.08333333333333333
10_5,10,5,45.0,133.0,2,24,0.08333333333333333
10_6,10,6,45.0,135.0,1,24,0.041666666666666664
10_7,10,7,45.0,137.0,13,24,0.5416666666666666
10_8,10,8,45.0,139.0,18,24,0.75
10_9,10,9,45.0,141.0,77,24,3.2083333333333335
11_0,11,0,47.0,123.0,2,24,0.08333333333333333
11_1,11,1,47.0,125.0,2,24,0.08333333333333333
11_10,11,10,47.0,143.0,62,24,2.5833333333333335
11_11,11,11,47.0,145.0,59,24,2.4583333333333335
11_12,11,12,47.0,147.0,95,24,3.9583333333333335
11_13,11,13,47.0,149.0,75,24,3.125
11_14,11,14,47.0,151.0,240,24,10.0
11_15,11,15,47.0,153.0,1411,24,58.791666666666664
11_3,11,3,47.0,129.0,1,24,0.041666666666666664
11_4,11,4,47.0,131.0,2,24,0.08333333333333333
11_7,11,7,47.0,137.0,3,24,0.125
11_8,11,8,47.0,139.0,6,24,0.25
11_9,11,9,47.0,141.0,49,24,2.0416666666666665
12_0,12,0,49.0,123.0,3,24,0.125
12_1,12,1,49.0,125.0,3,24,0.125
12_10,12,10,49.0,143.0,51,24,2.125
